Name,Description,Logo
GoMobile,"
									Gomobile est une Startup web dans le Cloud. Elle s’appuie sur les 97% de pénétration des téléphones mobiles pour construire une expérience de base pour les utilisateurs, sans demander aucun effort d’adaptation de leur côté...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/gomobile-150x150.png
HASSIAGRICOLE,"
									HASSIAGRICOLE est une boutique de nouvelle porte d'entrée pour des achats en ligne faciles et simples. Qui propose une variété de produits de haute qualité parmi lesquels vous pouvez choisir le meilleur...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/hassi-agricole-150x150.png
VotreColis.ma,"
									VotreColis.ma est une startup qui propose un service de gestion de livraison pour le e-commerce depuis la collecte des colis de chez les e-commerçants jusqu’à la livraison finale.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/votre-Colis.ma-l-Start-Up-150x150.png
Be in Agriculture,"
									Be in Agriculture constitue une plateforme internationale, accessible via le web et les appareils mobiles, favorisant les échanges et la communication entre professionnels ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/BeinAgriculture_logo_cnx-svg-150x150.png
Khabiry,"
									Khabiry est une startup innovante qui révolutionne la mise en relation entre particuliers et experts professionnels. La plateforme permet aux utilisateurs de trouver rapidement et facilement des experts dans divers domaines tels que le conseil, les services, et la gestion…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-66-150x150.png
SWIQAT,"
									SWIQAT vise à numériser le commerce des produits traditionnels marocains; à suivre le développement technologique continu; à aider les artisans ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Swiqat-150x150.png
PRATICOURS,"
									PRATICOURS développe son approche basée sur la pratique de l’intelligence dans toutes ses dimensions; par les sens, par le raisonnement, par le jeu ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Praticours-l-Start-Up-150x150.png
FIKRALABS,"
									FikraLabs est une startup qui se dédie à accompagner les entreprises dans leurs processus de transformation digitale.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Fikralabs-150x150.png
AVOIR COSMETOLOGY EXPERT,"
									AVOIR COSMETOLOGY EXPERT exerce dans de domaine de la cosmétologie au Maroc. Fièrement engagé pour le respect absolu de la peau, leurs produits enregistrés et règlementés	
								",https://www.start-up.ma/wp-content/uploads/2023/11/AVOIR-Cosmetology-150x150.png
Carloc Maroc,"
									Carloc Maroc, est une start-up qui offre une plateforme de location de voitures au Maroc, mettant en relation toutes les agences de location de voitures avec ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Carloc-150x150.png
WAKINGO,"
									Wakingo est une startup spécialisée dans l’édition de solutions technologiques cloud.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/WAKINGO-150x150.png
FAREEB,"
									FAREEB est un service de traitement des déchets organiques Engrais compote solide &amp; liquide Énergies électrique et thermiques.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/fareeb-150x150.png
Ostadi.ma,"
									Ostadi.ma est la première plateforme 100% en ligne qui propose aux élèves des cours de soutien dans des classes virtuelles/direct vidéo avec des professeurs qualifiés.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Ostadi.ma_-150x150.png
WebEvents,"
									La start-up WebEvents est  spécialisée dans la digitalisation de vos évènements virtuels ou hybrides. Qu’il s’agisse de conférences, foires, congrès scientifiques, réunions B2B, festivals.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/WebEvents-150x150.png
EasyTRAX,"
									EasyTRAX est une start-up spécialisée dans la location d'équipements de travaux publics, offrant un processus simple et transparent en quelques clics. En agissant en tant que tiers ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/easytrax-150x150.png
Mastery GPS,"
									Mastery GPS est une société digitale développant des solutions de géolocalisation qui permettent le contrôle des véhicules et des engins et le suivi de leur activité ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Mastery-l-Start-Up-150x150.png
FIXUP,"
									FIXUP est une plateforme innovante de Facility Management offrant des solutions intégrées pour répondre à tous vos besoins. Connectez-vous gratuitement à des professionnels compétents pour ...	
								",https://www.start-up.ma/wp-content/uploads/2024/01/FIXUP-l-Start-up.ma_-150x150.png
LOGIPRO,"
									LOGIPRO propose aux entreprises, quelles que soient leur taille et secteur d’activité, des solutions de gestion et de valorisation des déchets, banals ou dangereux, ainsi qu'une gamme complète de services industriels associés.	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-52-150x150.png
Green OpenLab,"
									Green OpenLab est la première entreprise de transformation digitale au Maroc, spécialisée dans l’Industrie et l’Agriculture, à disposer de sa propre plateforme de démonstration, d’innovation et de renforcement des capacités. Green OpenLab offre à ses clients une expertise pointue en…	
								",https://www.start-up.ma/wp-content/uploads/2024/02/Green-OpenLab-150x150.png
Organic Compost,"
									Organic Compost se spécialise dans la production de compost organique en utilisant des déchets agricoles et alimentaires. Leur objectif est de promouvoir l’agriculture durable en fournissant des solutions de compostage qui améliorent la qualité du sol et réduisent les déchets.…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-53-150x150.png
SportMa,"
									Sportma est l'application tout-en-un pour les passionnés de sport ! Elle permet de réserver facilement des activités sportives passionnantes tout en connectant avec d'autres amateurs de sport. Sportma simplifie l'expérience sportive, que vous soyez un athlète chevronné, un amateur occasionnel…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-69-150x150.png
Weego,"
									Weego est une entreprise de mobilité en Afrique, offrant des solutions variées pour simplifier les déplacements quotidiens. Leur application MAAS regroupe divers modes de transport ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Weego-l-start-up.ma_-150x150.png
GOACommerce,"
									GOACommerce est le premier prestataire de services et facilitateur d'e-commerce qui propose des solutions complètes et à la carte pour les marques dans la région MENA (Maroc, Tunisie, Égypte) ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/GOA-commerce-150x150.png
Pip Pip Yalah,"
									PIP PIP YALAH est une application de covoiturage marocaine permet aux utilisateurs de partager leurs trajets en voiture avec d'autres personnes se rendant dans la même direction. Elle offre une plateforme conviviale où les conducteurs peuvent proposer des sièges vacants…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-54-150x150.png
BTp360.ma,"
									BTP360.ma est le 1er portail au Maroc dédié à l'achat vente de véhicules industriels d'occasion sur internet.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/BTP360.ma_-1-150x150.png
CELERIUM,"
									CELERIUM est une plateforme digitale dédiée à la gestion des processus de recouvrement et contentieux fondée par un expert ayant cumulé plus de dix-huit années dans...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/celerium-l-Start-Up-150x150.png
Coopérative Herri,"
									La coopérative Herri est spécialisée dans l'élevage du bétail et la production d'aliments naturels pour animaux. Cette coopérative vise à promouvoir des pratiques agricoles durables en élevant du bétail dans des conditions respectueuses de l'environnement et en produisant des aliments…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-55-150x150.png
Educall,"
									Educall est une entreprise sociale qui propose des méthodes éducatives alternatives via des cours de supports gamifiés, des ateliers parascolaires et une plateforme e-learning.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Educall-l-Start-Up-150x150.png
Iktichaf Travel,"
									Iktichaf Travel est la seule agence de voyage 360° au Maroc. A travers des sociétés spécialisées, ils offrent de l’expertise dans une large gamme de services.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Iktichaf-Travel-150x150.png
Savey,"
									Savey est pionnier au Maroc en tant que concept révolutionnaire contre le gaspillage alimentaire. Cette plateforme novatrice offre une opportunité unique : celle de sauver de délicieux invendus à prix avantageux. En facilitant la mise en relation entre les consommateurs…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-56-150x150.png
Docti.ma,"
									Docti.ma est la première plateforme e-santé digitalisant le parcours de soin, offrant de l’information médical , un réseau de médecins expérimentés ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Docti.ma-l-Start-Up.ma_-150x150.png
EngFlexy,"
									EngFlexy est la première plateforme interactive d'apprentissage de l'Anglais dans le monde arabe (100% en ligne). La mission d'EngFlexy est de simplifier et...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Engflexy-150x150.png
Maroc annuaire,"
									Maroc annuaire est un annuaire professionnel des entreprises et des sociétés  répertorié par les régions et villes du Maroc , raison sociale, tel, fax, email, Adresse, Site web ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Maroc-Annuaire.org-l-Start-Up-150x150.png
SWL.MA,"
									SWL.MA est une plateforme de contact basée au Maroc, offrant une variété de profils dans différents domaines. Notre interface conviviale et sécurisée facilite la recherche...	
								",https://www.start-up.ma/wp-content/uploads/2024/05/swl_ma_logo-150x150.png
Lombrisol,"
									Lombrisol c'est la collecte le traitement et la valorisation des biodéchets pour la production d'engrais organique par lombricompostage. Lombrisol est une entreprise de biotechnologie fondée sur la recherche scientifique. Il se concentre sur le recyclage des déchets organiques grâce aux…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-57-150x150.png
Foodeals,"
									Foodeals est une application mobile gratuite permettant aux utilisateurs de bénéficier de bonnes affaires auprès des restaurants, boulangeries, pâtisseries et hôtels partenaires.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Foodeals-150x150.png
Morosoft Solutions,"
									Morosoft Solutions est une société de développement marocaine spécialisée dans la numérisation des processus et des ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Morosoft-Solutions-150x150.png
IDA Tech,"
									IDA TECH, cabinet de conseil spécialisé dans les secteurs de la Fintech et des nouvelles technologies, accumule plus de quinze ans d’expérience sur les marchés financiers. L’entreprise offre un accompagnement décisionnel et des solutions d’IA et de Big Data, visant…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-70-150x150.png
Bi3e.ma,"
									Bi3e est une startup offrant une solution complète aux commerçants via une marketplace dédiée, Bi3e.ma. Elle permet aux entreprises de vendre leurs produits sans la nécessité de créer ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Bi3e.ma-l-Start-Up-150x150.png
KEYNAPP,"
									KEYNAPP est une application mobile qui met en relation des professionnels du même secteur d’activité via un Marketplace B2B inversée. Cela permet aux vendeurs d’augmenter leurs ventes ...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/KeyNapp-l-Start-up-150x150.png
JobZyn,"
									JobZyn est une plateforme de recrutement en ligne qui vise à connecter les chercheurs d'emploi avec des opportunités professionnelles adaptées à leurs compétences et à leurs intérêts.	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-59-150x150.png
XPage,"
									XPage est une startup innovante spécialisée dans la création instantanée de pages d'atterrissage pour le e-commerce grâce à l'intelligence artificielle. La plateforme permet de transformer les détails d'un produit ou un lien AliExpress en une page d'atterrissage captivante en quelques…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-71-150x150.png
Positeams,"
									Positeams est une société de technologie RH qui fournit une plateforme SaaS de pointe conçue pour doter les organisations des outils numériques nécessaires pour constituer des équipes hautement engagées. Leur solution s'appuie sur l'automatisation et les enquêtes ponctuelles pour permettre…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Ahmed-Tawfik-Moulnakhla-150x150.png
ODHIYA,"
									ODHIYA, est une plateforme qui offre la possibilité aux individus, partout au Maroc, de procéder à des achats en ligne d'animaux tels que des chèvres, des ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/ODHIYA-150x150.png
eprogram,"
									Chez eProgram, l'objectif est d'accompagner les entreprises dans la gestion de leurs collaborateurs en mettant à leur disposition la première plateforme marocaine de conventions digitalisées dédiée aux conventions d'entreprise. Développée par la société Nov Disty, la plateforme s'engage à fournir…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Ahmed-Tawfik-Moulnakhla-1-150x150.png
WorkHub,"
									WORKHUB met à la disposition des entrepreneurs et meneurs de projets des espaces de travail accueillants et productifs mais également de nombreux services	
								",https://www.start-up.ma/wp-content/uploads/2023/11/WorkHub-150x150.png
NOVAC MANAGEMENT,"
									NOVAC MANAGEMENT est une nouvelle vision de gestion d’actifs à la croisée des approches techniques, comptables et immobilières.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/novac-150x150.png
JobWinWin,"
									Jobwinwin est une application de sourcing qui aborde spécifiquement la partie la plus chronophage et difficile du processus de recrutement. Elle est destinée aux entreprises de tous les secteurs d'activité ainsi qu'aux chasseurs de têtes et cabinets de recrutement.	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-82-150x150.png
SYSPOWER,"
									SYSPOWER est une startup qui fournit une solution PowerPMI , permet une transformation numérique qui révolutionne les modèles traditionnels des entreprises,	
								",https://www.start-up.ma/wp-content/uploads/2023/11/SysPower-l-Start-Up-150x150.png
FTBLR,"
									FTBLR est une startup marocaine innovante dédiée au football. La plateforme permet aux joueurs de créer un CV sportif incluant des vidéos de leurs compétences et performances.	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-73-150x150.png
Linkommunity,"
									Linkommunity est une solution innovante qui permet aux groupes professionnels de créer leurs propres réseaux sociaux verticaux privés, et de gérer leurs communautés ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Linkommunity-150x150.png
Bionoor Cosmetics,"
									BIONOOR est une entreprise sociale qui produit et commercialise les produits de terroir. Alliant un savoir faire acquis depuis plus de deux décennies et les dernières ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/BioNoor-Cosmetics-1-150x150.png
Zen Networks,"
									Zen Networks est un fournisseur et integrateurs de solutions innovantes qui répondent aux problématiques d'analyse de données, Cloud hybride et opérations IT.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Zen-Networks-150x150.png
GRAVIPACK,"
									GRAVIPACK offre une solution novatrice pour résoudre le problème courant de la pression excessive sur les épaules, le thorax et les bras liée au port quotidien de sacs à dos. Notre système de bretelles révolutionnaire répartit de manière équilibrée le…	
								",https://www.start-up.ma/wp-content/uploads/2024/05/gravipack-1-150x150.png
Innova Start Services,"
									Innova Start Services, est une start-up implantée à Casablanca, spécialisée dans les domaines du froid, de la climatisation et de l'électricité générale. Elle installe, met en service et assure ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/Innova-start-services-1-150x150.png
Nabda Club,"
									Nabda Club est une initiative pionnière au Maroc, offrant la première salle de sport spécifiquement conçue pour les personnes ayant des besoins physiques particuliers. Située à Casablanca, Nabda Club vise à promouvoir l'inclusion et l'accessibilité dans le domaine sportif. Le…	
								",https://www.start-up.ma/wp-content/uploads/2024/06/Design-sans-titre-74-150x150.png
Machaussure.ma,"
									MaChaussure.ma est une plateforme marocaine spécialisée dans la vente online et offline en gros et en détail des chaussures pour femmes, hommes et enfants, partout dans le monde...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Machaussure.ma-l-Start-Up-150x150.png
Food On Demand,"
									Food On Demand est le premier restaurant connecté au Maroc, se trouvant sur Marrakech et Casablanca et offrant un large choix de spécialités.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Food-On-Demand-l-Start-Up-150x150.png
Genious Communications,"
									Genious Communications est une société d’hébergement Web marocaine accréditée par l’ICANN . Elle propose des serveurs dédiés, des hébergements mutualisés ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Genious-Communications-l-Start-Up-150x150.png
Brioss Technologies,"
									BRIOSS Technologies est une compagnie jeune et dynamique sise à Casablanca, spécialisée en Conseil en matière de Technologies de l’Information, dotée d’une équipe spécialisé ..	
								",https://www.start-up.ma/wp-content/uploads/2023/11/Brioss-Technologies-l-Start-Up-150x150.png
PCS AGRI,"
									PCS AGRI est une startup marocaine spécialisée dans l'intégration de l'intelligence artificielle, de la vision par ordinateur et des objets connectés IoT pour ...	
								",https://www.start-up.ma/wp-content/uploads/2023/12/PCS-AGRI-150x150.png
Placari,"
									Placari est plateforme  une destination incontournable pour acheter et vendre les vêtements.	
								",https://www.start-up.ma/wp-content/uploads/2023/11/placari-150x150.png
ARWA Solutions,"
									ARWA Solutions, est le leader marocain de l’irrigation intelligente, proposant des solutions IoT afin d'aider les agriculteurs à optimiser leur production tout en préservant les ressources...	
								",https://www.start-up.ma/wp-content/uploads/2023/11/ARWA-Solutions-150x150.png
